Time,RPMA,RPMB,ARPMref,BRPMref,EncoderA,EncoderB
1025,193.57,191.43,200.0,200.0,3979.0,4231.0
1138,178.76,178.05,200.0,200.0,4487.0,4759.0
1319,192.49,195.36,200.0,200.0,5200.0,5345.0
1419,200.0,203.6,200.0,200.0,5700.0,5920.0
1519,195.6,196.4,200.0,200.0,6188.0,6462.0
1619,189.6,188.4,200.0,200.0,6707.0,6996.0
1719,188.8,189.6,200.0,200.0,7248.0,7550.0
1820,196.44,198.42,200.0,200.0,7804.0,8109.0
1934,194.39,195.09,200.0,200.0,8354.0,8656.0
2046,195.36,195.36,200.0,200.0,8901.0,9204.0
2160,191.23,191.93,200.0,200.0,9447.0,9756.0
2274,193.68,194.74,200.0,200.0,10001.0,10322.0
2388,199.3,201.05,200.0,200.0,10569.0,10888.0
2504,193.79,193.79,200.0,200.0,11128.0,11446.0
2620,193.1,193.1,200.0,200.0,11691.0,12015.0
2736,196.21,196.55,200.0,200.0,12263.0,12590.0
2850,201.05,202.11,200.0,200.0,12834.0,13158.0
2966,193.79,194.14,200.0,200.0,13393.0,13717.0
3082,194.14,193.45,200.0,200.0,13960.0,14288.0
3197,199.3,200.0,200.0,200.0,14533.0,14865.0
3312,198.26,200.0,200.0,200.0,15101.0,15432.0
3428,195.17,195.17,200.0,200.0,15667.0,15997.0
3544,195.86,194.83,200.0,200.0,16237.0,16573.0
3659,199.65,201.04,200.0,200.0,16812.0,17149.0
3774,199.65,200.0,200.0,200.0,17384.0,17716.0
3890,195.52,194.83,200.0,200.0,17950.0,18283.0
4005,197.91,198.26,200.0,200.0,18522.0,18861.0
4120,200.35,201.04,200.0,200.0,19098.0,19435.0
4236,197.59,197.24,200.0,200.0,19669.0,20004.0
4352,196.55,196.55,200.0,200.0,20240.0,20579.0
4467,200.0,200.35,200.0,200.0,20818.0,21157.0
4582,200.7,200.7,200.0,200.0,21393.0,21728.0
4698,196.9,196.55,200.0,200.0,21962.0,22299.0
4813,198.26,198.61,200.0,200.0,22535.0,22874.0
4929,198.97,198.97,200.0,200.0,23113.0,23452.0
5044,201.04,201.04,0.0,0.0,23554.0,23961.0
5155,-119.28,175.14,0.0,0.0,23063.0,23874.0
5268,62.3,-114.34,0.0,0.0,23523.0,23701.0
5379,157.12,28.11,0.0,0.0,23807.0,24173.0
5489,-93.82,159.64,0.0,0.0,23427.0,24105.0
5601,33.57,-98.21,0.0,0.0,23772.0,23906.0
5710,160.73,4.77,0.0,0.0,24090.0,24325.0
5820,-96.36,149.82,0.0,0.0,23689.0,24252.0
5932,24.29,-97.14,0.0,0.0,24007.0,24043.0
6041,155.96,-5.5,0.0,0.0,24310.0,24430.0
6152,-101.62,141.26,0.0,0.0,23886.0,24363.0
6264,14.29,-96.43,0.0,0.0,24185.0,24157.0
6374,148.73,-2.18,0.0,0.0,24476.0,24529.0
6484,-101.09,134.18,0.0,0.0,24064.0,24462.0
6597,14.16,-89.56,0.0,0.0,24342.0,24250.0
6707,133.09,-11.64,0.0,0.0,24610.0,24592.0
6818,-90.81,125.77,0.0,0.0,24216.0,24528.0
6930,-3.93,-89.64,0.0,0.0,24431.0,24333.0
7040,120.36,-6.18,0.0,0.0,24678.0,24662.0
7150,-78.91,119.64,0.0,0.0,24320.0,24597.0
7262,-17.5,-85.36,0.0,0.0,24474.0,24367.0
